LineItem,GrandParent,Parent
Pre-Opening Advertising,Pre-Opening Expenses,Total Pre-Opening Expenses
Pre-Opening Supplies & Mainten.,Pre-Opening Expenses,Total Pre-Opening Expenses
Pre-Opening Occupancy,Pre-Opening Expenses,Total Pre-Opening Expenses
Pre-Opening Financial Cost,Pre-Opening Expenses,Total Pre-Opening Expenses
Pre-opening Communication,Pre-Opening Expenses,Total Pre-Opening Expenses
Pre-Opening R&D,Pre-Opening Expenses,Total Pre-Opening Expenses
Market Hourly,STAFF COST,Wages - F.O.H
Bartender,STAFF COST,Wages - F.O.H
Servers,STAFF COST,Wages - F.O.H
Bussers,STAFF COST,Wages - F.O.H
Host,STAFF COST,Wages - F.O.H
Manager,STAFF COST,Wages - F.O.H
Market Salaried,STAFF COST,Wages - F.O.H
FOH Overtime,STAFF COST,Wages - F.O.H
Barista/Cashier,STAFF COST,Wages - F.O.H
Line Cook,STAFF COST,Wages - B.O.H.
Prep Hourly,STAFF COST,Wages - B.O.H.
Prep Salaried,STAFF COST,Wages - B.O.H.
Dishwasher,STAFF COST,Wages - B.O.H.
BOH Overtime,STAFF COST,Wages - B.O.H.
Pastry Hourly,STAFF COST,Wages - B.O.H.
Executive Chef ( Hourly),STAFF COST,Wages - B.O.H.
Pastry Salaried,STAFF COST,Wages - B.O.H.
Manager Salaried,STAFF COST,Wages - B.O.H.
Supervisor,STAFF COST,Wages - F.O.H
Executive Chef,STAFF COST,Wages - B.O.H.
Wages - Bonuses,STAFF COST,Wages - Bonuses
Salaries - Owners,STAFF COST,Salaries - Owners
Wages - Tips,STAFF COST,Wages - Tips
Wages - 1099,STAFF COST,Wages - 1099
Cash - Wages,STAFF COST,Cash - Wages
Other-Wages,STAFF COST,Other-Wages
Employer Taxes - Other,STAFF COST,Employer Taxes
Federal FUTA,STAFF COST,Employer Taxes
Medicare,STAFF COST,Employer Taxes
DC Unemploy/Surcharge,STAFF COST,Employer Taxes
Social Security / OASDI,STAFF COST,Employer Taxes
Staff Workman's Comp,OTHER STAFF COST,Staff Insurance
Staff Insurance,OTHER STAFF COST,Staff Insurance
Medical,OTHER STAFF COST,Staff Insurance
Dental,OTHER STAFF COST,Staff Insurance
Vision,OTHER STAFF COST,Staff Insurance
Staff Recruitment,OTHER STAFF COST,Staff Recruitment
Staff Training,OTHER STAFF COST,Staff Training
Staff Uniforms,OTHER STAFF COST,Staff Uniforms
Staff Welfare,OTHER STAFF COST,Staff Welfare
Employee Benefits - Other,OTHER STAFF COST,Employee Benefits
Staff Meals,OTHER STAFF COST,Employee Benefits
Chef / Manager Meals,OTHER STAFF COST,Employee Benefits
Staff First Aid,OTHER STAFF COST,Staff First Aid
Advertising,ADVERTISING / PROMOTION,Advertising
Public Relations,ADVERTISING / PROMOTION,Public Relations
Web Design & Maintenance,ADVERTISING / PROMOTION,Web Design & Maintenance
R & D,ADVERTISING / PROMOTION,R & D
Event Expenses,ADVERTISING / PROMOTION,Event Expenses
Commision Paid -Caviar/Doordash,FINANCIAL COST,Commision Paid -Caviar/Doordash
Ritual Fees & Commission,FINANCIAL COST,Ritual Fees & Commission
Subscriptions,ADVERTISING / PROMOTION,Subscriptions
Photography Expense,ADVERTISING / PROMOTION,Photography Expense
Complimentary Cost,ADVERTISING / PROMOTION,Complimentary Cost
Investor,ADVERTISING / PROMOTION,Investor
Guest Relation,ADVERTISING / PROMOTION,Guest Relation
Security and Alarm,OCCUPANCY,Security and Alarm
Gift Card Promotion,ADVERTISING / PROMOTION,Gift Card Promotion
Travel Cost,TRAVEL & ENTERTAINMENT,Travel Cost
Entertainment Meals,TRAVEL & ENTERTAINMENT,Entertainment Meals
Lodging,TRAVEL & ENTERTAINMENT,Lodging
Parking Charges,TRAVEL & ENTERTAINMENT,Parking Charges
Telephone,COMMUNICATION,Telephone
Postage,COMMUNICATION,Postage
Courier,COMMUNICATION,Courier
Linen & Laundry,SUPPLIES & MAINTENANCE,Linen & Laundry
Cleaning,SUPPLIES & MAINTENANCE,Cleaning
Cleaning Services,SUPPLIES & MAINTENANCE,Cleaning Services
Kitchen Accessories,SUPPLIES & MAINTENANCE,Kitchen Accessories
Wood Expense,SUPPLIES & MAINTENANCE,Wood Expense
Restaurant,SUPPLIES & MAINTENANCE,Restaurant
"China, Glass, Silverware",SUPPLIES & MAINTENANCE,"China, Glass, Silverware"
Barware,SUPPLIES & MAINTENANCE,Barware
Music,SUPPLIES & MAINTENANCE,Music
"Landscape, Flowers & Candles",SUPPLIES & MAINTENANCE,"Landscape, Flowers & Candles"
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,Office Supplies/Stationery
Menus,SUPPLIES & MAINTENANCE,Menus
IT Cost,SUPPLIES & MAINTENANCE,IT Cost
Equipment Rental,SUPPLIES & MAINTENANCE,Equipment Rental
Supplies,SUPPLIES & MAINTENANCE,Supplies
Repairs - Building,REPAIRS & MAINTENANCE,Repairs - Building
Repairs - Equipment,REPAIRS & MAINTENANCE,Repairs - Equipment
Repairs - General,REPAIRS & MAINTENANCE,Repairs - General
Legal Fees,FINANCIAL COST,Legal Fees
Professional Fees,FINANCIAL COST,Professional Fees
Accountancy Charges,FINANCIAL COST,Accountancy Charges
Payroll Processing Charges,FINANCIAL COST,Payroll Processing Charges
Credit Card Charges,FINANCIAL COST,Credit Card Charges
Eventbrite Fees,FINANCIAL COST,Eventbrite Fees
Stripe fees,FINANCIAL COST,Stripe fees
Credit Card Chargeback,FINANCIAL COST,Credit Card Chargeback
Bank Charges,FINANCIAL COST,Bank Charges
Interest Paid on Loans,FINANCIAL COST,Interest Paid on Loans
Donations,ADVERTISING / PROMOTION,Donations
Use Tax on Comps,FINANCIAL COST,Use Tax on Comps
Tangible Property Taxes,FINANCIAL COST,Tangible Property Taxes
Penalties,FINANCIAL COST,Penalties
Licenses and Permits,FINANCIAL COST,Licenses and Permits
Tock Fees,FINANCIAL COST,Tock Fees
Base- Rent,OCCUPANCY,Rent
Real Estate Escalation Tax,OCCUPANCY,Real Estate Escalation Tax
Electricity,OCCUPANCY,Electricity
Gas,OCCUPANCY,Gas
Wood Expenses,OCCUPANCY,Wood Expenses
Insurance,OCCUPANCY,Insurance
Trash / Water Condenser,SUPPLIES & MAINTENANCE,Trash / Water Condenser
Pest Control,OCCUPANCY,Pest Control
Auto Expense,TRAVEL & ENTERTAINMENT,Auto Expense
Reservations,SUPPLIES & MAINTENANCE,Reservations
Sales Tax,FINANCIAL COST,Sales Tax
Carry Out Supplies,SUPPLIES & MAINTENANCE,Carry Out Supplies
Over / Under,Over / Under,Over / Under
P & L Depreciation,P & L Depreciation,P & L Depreciation
P & L Amortization,P & L Amortization,P & L Amortization
Bank Interest,Bank Interest,Bank Interest
Other Income,Other Income,Other Income
Ask My Accountant,Ask My Accountant,Ask My Accountant
Other Expenses,Other Expenses,Other Expenses
Customer Balance (Write Off),Customer Balance (Write Off),Customer Balance (Write Off)
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
Total Cost of Sales - Beverage,COST OF GOODS SOLD,Total Cost of Sales - Beverage
TOTAL COST OF GOODS SOLD - F&B,COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD - F&B
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Revenue In House - Other,REVENUE,Total Revenue In House
Revenue In House Food,REVENUE,Total Revenue In House
Revenue In House Soda BIB,REVENUE,Total Revenue In House
Revenue in House Soda Can,REVENUE,Total Revenue In House
Revenue In House Beer,REVENUE,Total Revenue In House
Revenue In House Ice Tea,REVENUE,Total Revenue In House
Revenue In House Wine,REVENUE,Total Revenue In House
Revenue In House Water,REVENUE,Total Revenue In House
Revenue in House Juice,REVENUE,Total Revenue In House
Revenue Delivery - Other,REVENUE,Total Revenue Delievery
Revenue Delivery Food,REVENUE,Total Revenue Delievery
Revenue Delivery Soda BIB,REVENUE,Total Revenue Delievery
Revenue Delivery Soda Can,REVENUE,Total Revenue Delievery
Revenue Delivery Beer,REVENUE,Total Revenue Delievery
Revenue Delivery Ice Tea,REVENUE,Total Revenue Delievery
Revenue Delivery Wine,REVENUE,Total Revenue Delievery
Revenue Delivery Water,REVENUE,Total Revenue Delievery
Revenue Delivery Juice,REVENUE,Total Revenue Delievery
Revenue - Retail,REVENUE,Revenue - Retail
Revenue - Delivery fee,REVENUE,Revenue - Delivery fee
Comps & Promos - Other,REVENUE,Total Comps & Promos
Comps & Promos (In House),REVENUE,Total Comps & Promos
Comps & Promos (Delivery),REVENUE,Total Comps & Promos
Sales Adjustment,REVENUE,Sales Adjustment
Management Fees Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
PRIME COST,PRIME COST,PRIME COST
TOTAL OPERATING EXPENSE,OPERATING EXPENSE,OPERATING EXPENSE
TOTAL STORE LEVEL EXPENSE,STORE LEVEL EXPENSE,STORE LEVEL EXPENSE
Food - Other,COST OF GOODS SOLD,Total Cost of Sale - Food
Food Purchases,COST OF GOODS SOLD,Total Cost of Sale - Food
Food - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sale - Food
Bakery - Other,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Bakery Purchases,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Bakery - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Dairy - Other,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Dairy Purchases,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Dairy - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Meat - Other,COST OF GOODS SOLD,Total Cost of Sales - Meat
Meat Purchases,COST OF GOODS SOLD,Total Cost of Sales - Meat
Meat - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Meat
Mozzarella - Other,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Mozzarella Purchases,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Mozzarella - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Produce - Other,COST OF GOODS SOLD,Total Cost of Sales - Produce
Produce Purchases,COST OF GOODS SOLD,Total Cost of Sales - Produce
Produce - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Produce
Seafood - Other,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Seafood Purchases,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Seafood - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Oils - Other,COST OF GOODS SOLD,Total Cost of Sales - Oils
Oils Purchases,COST OF GOODS SOLD,Total Cost of Sales - Oils
Oils - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Oils
Sauces - Other,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Sauces Purchases,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Sauces - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Cost of Sales - Food - Other,COST OF GOODS SOLD,Cost of Sales - Food - Other
TOTAL STORE LEVEL PROFIT,STORE LEVEL PROFIT,STORE LEVEL PROFIT
Cost of Sales - Wine - Other,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine Purchases,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Wine
Cost of Goods Sold - Beverage - Other,COST OF GOODS SOLD,Cost of Goods Sold - Beverage - Other
Cost of Sales - Beer - Other,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer Purchases,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Beer
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Cost of Sales - Ice Tea - Other,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Ice Tea Purchases,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Ice Tea - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Cost of Sales - Soda - BIB - Other,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
Soda - BIB Purchases,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
Soda - BIB - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
EBITDA,EBITDA,EBITDA
Cost of Sales - Soda - Cans - Other,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Soda - Cans Purchases,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Soda - Cans - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Cost of Sales - Juice - Other,COST OF GOODS SOLD,Total Cost of Sales - Juice
Juice Purchases,COST OF GOODS SOLD,Total Cost of Sales - Juice
Juice - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Juice
Cost of Sales - Water - Other,COST OF GOODS SOLD,Total Cost of Sales - Water
Water Purchases,COST OF GOODS SOLD,Total Cost of Sales - Water
Water - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Water
Cost of Sales - Events - Other,COST OF GOODS SOLD,Total Cost of Sales - Events
Event Items purchase,COST OF GOODS SOLD,Total Cost of Sales - Events
Cost of Sales - Retails - Other,COST OF GOODS SOLD,Total Cost of Sales - Retails
Retail Purchases,COST OF GOODS SOLD,Total Cost of Sales - Retails
Retail - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Retails
TOTAL OTHER EXPENSE,TOTAL OTHER EXPENSE,TOTAL OTHER EXPENSE
Use Tax on Comps,G&A,Use Tax on Comps
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Labour - Other,STAFF COST,Total Employer Taxes
Wages - Other,STAFF COST,Wages - Other
Employment Benefits - Other,STAFF COST,Total Employer Benefits
Wages - F.O.H. Wages - Other,STAFF COST,Total Wages - F.O.H. Wages
Wages - B.O.H. Wages - Other,STAFF COST,Total Wages - B.O.H. Hourly
Wages - F.O.H. Management,STAFF COST,Wages - F.O.H. Management
Wages - B.O.H. Management,STAFF COST,Wages - B.O.H. Management
Wages - Agency,STAFF COST,Total Employer Benefits
Wages - 1099,STAFF COST,Total Employer Taxes
Cash - Wages,STAFF COST,Total Employer Benefits
Consulting Fee,STAFF COST,Consulting Fee
Executive Fees,STAFF COST,Executive Fees
Catering & Admin,STAFF COST,Catering & Admin
Assistant Manager,STAFF COST,Total Wages - F.O.H. Wages
Delivery,STAFF COST,Total Wages - B.O.H. Hourly
General Manager,STAFF COST,Total Wages - F.O.H. Wages
Shift Leader,STAFF COST,Total Wages - F.O.H. Wages
Pizza,STAFF COST,Total Wages - B.O.H. Hourly
Oven,STAFF COST,Total Wages - B.O.H. Hourly
Prep,STAFF COST,Total Wages - B.O.H. Hourly
Operations,STAFF COST,Total Wages - F.O.H. Wages
Payroll Expense,STAFF COST,Payroll Expense
Dishwasher/Porter,STAFF COST,Total Wages - B.O.H. Hourly
Catering/Social Media,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Human Resource,STAFF COST,Total Wages - F.O.H. Wages
Server,STAFF COST,Total Wages - F.O.H. Wages
Supervisor,STAFF COST,Total Wages - F.O.H. Wages
Employer Taxes - Other,STAFF COST,Total Employer Taxes
Federal FUTA,STAFF COST,Total Employer Taxes
Medicare & Social Security,STAFF COST,Total Employer Taxes
Ny Re-employment,STAFF COST,Total Employer Taxes
Ny MTAI,STAFF COST,Total Employer Taxes
State SUI,STAFF COST,Total Employer Taxes
OASDI,STAFF COST,Total Employer Taxes
ERTC,STAFF COST,Total Employer Taxes
Staff Workman's Comps,STAFF COST,Total Employer Benefits
Staff Insurance - Other,STAFF COST,Total Employer Benefits
Medical,STAFF COST,Total Employer Benefits
Dental,STAFF COST,Total Employer Benefits
Vision,STAFF COST,Total Employer Benefits
Disability,STAFF COST,Total Employer Benefits
PFL Insurance,STAFF COST,Total Employer Benefits
Staff Recruitment,STAFF COST,Total Employer Benefits
Staff Training,STAFF COST,Total Employer Benefits
Staff Uniforms,STAFF COST,Total Employer Benefits
Staff Meals,STAFF COST,Total Employer Benefits
Conveyance Charges,STAFF COST,Total Employer Benefits
Staff Accommodation/Relocation,STAFF COST,Total Employer Benefits
Staff First Aids,STAFF COST,Total Employer Benefits
Training,STAFF COST,Total Employer Benefits
Paid Time Off,STAFF COST,Total Employer Benefits
Bonus,STAFF COST,Total Employer Benefits
Vacation,STAFF COST,Total Employer Benefits
Garnishments,STAFF COST,Total Employer Benefits
G&A - Other,G&A,G&A - Other
Advertising,CONTROLLABLES,Advertising
Public Relations,CONTROLLABLES,Public Relations
Marketing - Other,CONTROLLABLES,Total Marketing Cost
Web,CONTROLLABLES,Total Marketing Cost
SEO,CONTROLLABLES,Total Marketing Cost
Social Media,CONTROLLABLES,Total Marketing Cost
Web Design & Maintenance,CONTROLLABLES,Total Marketing Cost
Branding & Design?,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
R & D,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Event Expenses,CONTROLLABLES,Event Expenses
Delivery Commission - Other,G&A,Total Delivery Commission Fees
Grubhub Commission,G&A,Total Delivery Commission Fees
Chownow Commission,G&A,Total Delivery Commission Fees
Ezcater Commission,G&A,Total Delivery Commission Fees
CaterCow Commission,G&A,Total Delivery Commission Fees
Slice Commission,G&A,Total Delivery Commission Fees
UberEats Commission,G&A,Total Delivery Commission Fees
Doordash Commission,G&A,Total Delivery Commission Fees
Too Good To Go Commission,G&A,Total Delivery Commission Fees
Sharebite Commission,G&A,Total Delivery Commission Fees
Subscriptions,G&A,Subscriptions
Photography expense?,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Complimentary Cost,G&A,Complimentary Cost
Airfare,CONTROLLABLES,Airfare
Entertainment Meals,CONTROLLABLES,Entertainment Meals
Lodging,CONTROLLABLES,Lodging
Shipping and Freight,CONTROLLABLES,Shipping and Freight
Transportation,CONTROLLABLES,Transportation
Delivery Service Fees,G&A,Delivery Service Fees
Telecommunications - Other,CONTROLLABLES,Total Telecommunication Cost
Telephones,CONTROLLABLES,Total Telecommunication Cost
Postage & Courier,G&A,Postage & Courier
Internet -Communication,CONTROLLABLES,Total Telecommunication Cost
Cable (TV),CONTROLLABLES,Total Telecommunication Cost
Controllables - Other,CONTROLLABLES,Controllables - Other
Linen & Laundrys,CONTROLLABLES,Linen & Laundry
Cleaning Supplier,CONTROLLABLES,Cleaning Supplies
Cleaning Contract Services,CONTROLLABLES,Cleaning Contract Services
Pest Controls,G&A,Pest Control
Waste Removal Service,G&A,Waste Removal Service
FIre contract service,G&A,FIre contract service
Kitchen Supplier,CONTROLLABLES,Kitchen Supplies
FOH Supplier,CONTROLLABLES,FOH Supplies
Total Cost of Sales - Paper Supplies,COST OF GOODS SOLD,Total Cost of Sales - Paper Supplies
Total Cost of Sales - Pizza Boxes,COST OF GOODS SOLD,Total Cost of Sales - Pizza Boxes
SmallWares.,CONTROLLABLES,SmallWares.
Plasticware,CONTROLLABLES,Plasticware
Glassware,CONTROLLABLES,Glassware
Barware,CONTROLLABLES,Barware
Music,G&A,Music
Décor,CONTROLLABLES,Décor
Office Supplier/Stationery,CONTROLLABLES,Office Supplies/Stationery
Menus,CONTROLLABLES,Menus
Printing and Reproduction,CONTROLLABLES,Printing and Reproduction
IT,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Equipment Rental,CONTROLLABLES,Equipment Rental
Contributions,OCCUPANCY COST,Contributions
Repairs - Building,CONTROLLABLES,Repairs - Building
Repairs - Equipment,CONTROLLABLES,Repairs - Equipment
Repairs - General,CONTROLLABLES,Repairs - General
Repairs - Electrical,CONTROLLABLES,Repairs - Electrical
Repairs - Plumbing,CONTROLLABLES,Repairs - Plumbing
Repairs - Refrigeration,CONTROLLABLES,Repairs - Refrigeration
Occupancy - Other,OCCUPANCY COST,Occupancy - Other
Legal Fees,G&A,Legal Fees
Audit Fees,OTHER OPERATING EXPENSES,Audit Fees
Tax Fees,G&A,Tax Fees
Professional Fees,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Accountancy Fees,G&A,Accountancy Fees
Consulting Fees,G&A,Consulting Fees
Payroll Processing Fees,G&A,Payroll Processing Fees
Credit Card Fees,G&A,Credit Card Fees
Credit Card Charges - Fania,G&A,Credit Card Charges - Fania
Credit Card Charges - Chris,G&A,Credit Card Charges - Chris
Credit Card Charges - Phil,G&A,Credit Card Charges - Phil
Chargeback (Toast),G&A,Chargeback (Toast)
Bank Charge,G&A,Bank Charges
Donations,OTHER OPERATING EXPENSES,Donations
Royalties,OTHER OPERATING EXPENSES,Royalties
Corporation Tax,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Tangible Property Taxes,OTHER OPERATING EXPENSES,Tangible Property Taxes
Penalties,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Interest on Tax/Penalties,G&A,Interest on Tax/Penalties
Licenses and Permits,G&A,Licenses and Permits
Payroll Admin,STAFF COST,Payroll Admin
R&M Manager,STAFF COST,R&M Manager
District Manager,STAFF COST,District Manager
Rent?,OCCUPANCY COST,Rent
Real Estate Escalation Tax,OCCUPANCY COST,Real Estate Escalation Tax
Commercial Rent Tax,OTHER OPERATING EXPENSES,Commercial Rent Tax
Electricity?,OCCUPANCY COST,Electricity
Gas?,OCCUPANCY COST,Gas
Water?,OCCUPANCY COST,Water
Insurance,G&A,Insurance
Fire Insurance,G&A,Fire Insurance
Employment Practices Liability,G&A,Employment Practices Liability
Insurance - Other,G&A,Insurance - Other
Staff Workman's Comp,G&A,Staff Workman's Comp
Commercial General Liability,G&A,Commercial General Liability
Security Services,G&A,Security Services
CAM Charges,OTHER OPERATING EXPENSES,CAM Charges
P & L Amortization - Other,P&L AMORTIZATION,P & L Amortization - Other
Fees,P&L AMORTIZATION,Fees
Interest Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Bank Interest,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Other Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Other Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Ask My Accountant,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Embezzlement,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Over/Under,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Rounding Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Tax Interest,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Tax Penalties,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Management Fees,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
MANAGEMENT EXPENSE,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Incremental Rent,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
P & L Depreciation,P & L Depreciation,P & L Depreciation
Interest Paid on Loans,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Storage Rent?,OCCUPANCY COST,Storage Rent
Sales Tax Expense,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Pre Opening Expenses - Other,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Pre - Opening Professional Fees,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Repairs General,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Paper Supplies,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
SmallWares,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Branding & Design,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Photography expense,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Entertainment Meal,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Transportations,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Kitchen Supplies,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Office Supplies/Stationery,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Telephone,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Internet,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Cable,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Linen & Laundry,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Cleaning Supplies,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
IT Cost,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Foh Supplies,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Pest Control,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Equipment Rentals,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Inspection,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Accountancy Charges,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Bank Charges,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Security Service,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Staff First Aid,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Electricity,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Gas,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Water,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Pizza Boxes,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Rent,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Storage Rent,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Labor Expense,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Revenue - Bev,REVENUE,TOTAL REVENUE
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
EBITDA,EBITDA,EBITDA
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Cost of Sales - Beverages,COST OF GOODS SOLD,Cost of Sales - Beverages
Revenue - Food,REVENUE,TOTAL REVENUE
Revenue - Wines,REVENUE,TOTAL REVENUE
"Revenue - Liquor, Beer & NA",REVENUE,TOTAL REVENUE
Revenue Retails,REVENUE,TOTAL REVENUE
Discount,REVENUE,TOTAL REVENUE
Sales - Tobacco,REVENUE,TOTAL REVENUE
Revenue - Other,REVENUE,TOTAL REVENUE
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,Cost of Sales - Food
Cost of Sales - Food,COST OF GOODS SOLD,Cost of Sales - Food
Cost of Sales - Wine & Champagn,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Wine & Champagn,COST OF GOODS SOLD,Cost of Sales - Wine & Champagn
Cost of Sales - Wine & Champagn,COST OF GOODS SOLD,Cost of Sales - Wine & Champagn
"Cost of Sale- Liquor, Beer & NA",COST OF GOODS SOLD,COST OF GOODS SOLD
"Cost of Sale- Liquor, Beer & NA",COST OF GOODS SOLD,"Cost of Sale- Liquor, Beer & NA"
